ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.986300,0.689826,1.429779,15.000000,0.086639,0.140667
2,743,74,1.000000,0.632402,0.499806,1.265297,15.000000,0.112534,0.140667
3,462,46,1.000000,0.828817,0.428011,1.936437,15.000000,0.035943,0.089859
4,1627,162,1.000000,0.140178,0.371602,0.377227,15.000000,0.355644,0.355644
5,2948,294,1.000000,0.730500,0.314027,2.326233,15.000000,0.017215,0.086077
