ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.616988,0.755985,0.816138,15.000000,0.213596,0.436659
2,743,74,1.000000,0.061130,0.617926,0.098928,15.000000,0.461253,0.535785
3,462,46,1.000000,0.451307,0.601137,0.750756,15.000000,0.232207,0.436659
4,1627,162,1.000000,-0.034209,0.374514,-0.091342,15.000000,0.535785,0.535785
5,2948,294,1.000000,0.226793,0.347607,0.652439,15.000000,0.261996,0.436659
