ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.544492,0.585097,2.639721,15.000000,0.009284,0.011605
2,743,74,1.000000,2.170568,0.643398,3.373601,15.000000,0.002089,0.003482
3,462,46,1.000000,1.408628,0.674574,2.088174,15.000000,0.027124,0.027124
4,1627,162,1.000000,1.042673,0.267280,3.901047,15.000000,0.000709,0.001916
5,2948,294,1.000000,1.442237,0.373359,3.862870,15.000000,0.000767,0.001916
