ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.359615,0.705639,1.926786,15.000000,0.036584,0.066703
2,743,74,1.000000,0.998904,0.582091,1.716062,15.000000,0.053363,0.066703
3,462,46,1.000000,0.748637,0.620930,1.205670,15.000000,0.123310,0.123310
4,1627,162,1.000000,0.447373,0.256605,1.743429,15.000000,0.050856,0.066703
5,2948,294,1.000000,0.857800,0.342285,2.506101,15.000000,0.012106,0.060531
