ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.219384,0.455967,2.674279,15.000000,0.008665,0.010831
2,743,74,1.000000,1.162284,0.397734,2.922265,15.000000,0.005255,0.008758
3,462,46,1.000000,1.165220,0.396223,2.940823,15.000000,0.005060,0.008758
4,1627,162,1.000000,0.547891,0.227791,2.405231,15.000000,0.014761,0.014761
5,2948,294,1.000000,1.031646,0.310342,3.324224,15.000000,0.002312,0.008758
