ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.440947,0.482892,2.983996,15.000000,0.004635,0.007100
2,743,74,1.000000,1.855328,0.413112,4.491099,15.000000,0.000215,0.001077
3,462,46,1.000000,1.657964,0.504953,3.283400,15.000000,0.002514,0.006284
4,1627,162,1.000000,0.897116,0.322692,2.780102,15.000000,0.007005,0.007100
5,2948,294,1.000000,1.004946,0.362350,2.773416,15.000000,0.007100,0.007100
