ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.481006,0.623579,2.375012,15.000000,0.015658,0.026096
2,743,74,1.000000,0.817906,0.567494,1.441259,15.000000,0.085031,0.106288
3,462,46,1.000000,1.675212,0.479729,3.491999,15.000000,0.001638,0.008192
4,1627,162,1.000000,0.365988,0.412102,0.888101,15.000000,0.194253,0.194253
5,2948,294,1.000000,0.934336,0.382396,2.443373,15.000000,0.013698,0.026096
