ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.495772,1.036317,1.443354,15.000000,0.084740,0.084740
2,743,74,1.000000,2.130648,0.732188,2.909974,15.000000,0.005387,0.026936
3,462,46,1.000000,1.422432,0.981344,1.449473,15.000000,0.083895,0.084740
4,1627,162,1.000000,1.015350,0.445638,2.278422,15.000000,0.018882,0.031471
5,2948,294,1.000000,1.612798,0.638579,2.525604,15.000000,0.011648,0.029121
