ROI,Subject,Effect,Session/Partition,LocalizerSize,EffectSize
1,221_KAN_evDB_20140808_PL2017,N_hm, 1,37,0.171091
1,221_KAN_evDB_20140808_PL2017,N_lm, 1,37,1.634013
1,221_KAN_evDB_20140808_PL2017,N_lo, 1,37,3.131718
1,221_KAN_evDB_20140808_PL2017,AJ_hi, 1,37,1.407517
1,221_KAN_evDB_20140808_PL2017,AJ_hm, 1,37,6.449164
1,221_KAN_evDB_20140808_PL2017,AJ_lm, 1,37,3.681989
1,221_KAN_evDB_20140808_PL2017,AJ_lo, 1,37,-3.816305
1,221_KAN_evDB_20140808_PL2017,V_hi, 1,37,1.260741
1,221_KAN_evDB_20140808_PL2017,V_hm, 1,37,2.125620
1,221_KAN_evDB_20140808_PL2017,V_lm, 1,37,1.690242
1,221_KAN_evDB_20140808_PL2017,V_lo, 1,37,2.300881
1,221_KAN_evDB_20140808_PL2017,AV_hi, 1,37,-0.652654
1,221_KAN_evDB_20140808_PL2017,AV_hm, 1,37,-0.294993
1,221_KAN_evDB_20140808_PL2017,AV_lm, 1,37,5.883286
1,221_KAN_evDB_20140808_PL2017,AV_lo, 1,37,5.304398
1,221_KAN_evDB_20140808_PL2017,FW_hi, 1,37,5.361315
1,221_KAN_evDB_20140808_PL2017,FW_lo, 1,37,-0.296899
1,223_KAN_evDB_20140820a_PL2017,N_hi, 1,37,0.284003
1,223_KAN_evDB_20140820a_PL2017,N_hm, 1,37,2.759261
1,223_KAN_evDB_20140820a_PL2017,N_lm, 1,37,0.182504
1,223_KAN_evDB_20140820a_PL2017,N_lo, 1,37,1.400166
1,223_KAN_evDB_20140820a_PL2017,AJ_hi, 1,37,3.998450
1,223_KAN_evDB_20140820a_PL2017,AJ_hm, 1,37,0.008973
1,223_KAN_evDB_20140820a_PL2017,AJ_lm, 1,37,-1.519606
1,223_KAN_evDB_20140820a_PL2017,AJ_lo, 1,37,0.502023
1,223_KAN_evDB_20140820a_PL2017,V_hi, 1,37,0.165148
1,223_KAN_evDB_20140820a_PL2017,V_hm, 1,37,1.190796
1,223_KAN_evDB_20140820a_PL2017,V_lm, 1,37,3.309850
1,223_KAN_evDB_20140820a_PL2017,V_lo, 1,37,-1.274455
1,223_KAN_evDB_20140820a_PL2017,AV_hi, 1,37,1.265878
1,223_KAN_evDB_20140820a_PL2017,AV_hm, 1,37,1.441281
1,223_KAN_evDB_20140820a_PL2017,AV_lm, 1,37,-0.124242
1,223_KAN_evDB_20140820a_PL2017,AV_lo, 1,37,1.886280
1,223_KAN_evDB_20140820a_PL2017,FW_hi, 1,37,-1.702423
1,223_KAN_evDB_20140820a_PL2017,FW_lo, 1,37,0.995315
1,214_KAN_evDB_20141103b_PL2017,N_hi, 1,37,-0.795150
1,214_KAN_evDB_20141103b_PL2017,N_hm, 1,37,1.108835
1,214_KAN_evDB_20141103b_PL2017,N_lm, 1,37,1.291686
1,214_KAN_evDB_20141103b_PL2017,N_lo, 1,37,1.743710
1,214_KAN_evDB_20141103b_PL2017,AJ_hi, 1,37,0.041116
1,214_KAN_evDB_20141103b_PL2017,AJ_hm, 1,37,0.396364
1,214_KAN_evDB_20141103b_PL2017,AJ_lm, 1,37,0.949399
1,214_KAN_evDB_20141103b_PL2017,AJ_lo, 1,37,1.310275
1,214_KAN_evDB_20141103b_PL2017,V_hi, 1,37,1.728059
1,214_KAN_evDB_20141103b_PL2017,V_hm, 1,37,0.784783
1,214_KAN_evDB_20141103b_PL2017,V_lm, 1,37,-1.164210
1,214_KAN_evDB_20141103b_PL2017,V_lo, 1,37,-0.735595
1,214_KAN_evDB_20141103b_PL2017,AV_hi, 1,37,1.009759
1,214_KAN_evDB_20141103b_PL2017,AV_hm, 1,37,1.136174
1,214_KAN_evDB_20141103b_PL2017,AV_lm, 1,37,0.297549
1,214_KAN_evDB_20141103b_PL2017,AV_lo, 1,37,-0.685363
1,214_KAN_evDB_20141103b_PL2017,FW_hi, 1,37,0.067959
1,214_KAN_evDB_20141103b_PL2017,FW_lo, 1,37,0.690386
1,240_KAN_evDB_20141103a_PL2017,N_hi, 1,37,1.495485
1,240_KAN_evDB_20141103a_PL2017,N_hm, 1,37,-2.837387
1,240_KAN_evDB_20141103a_PL2017,N_lm, 1,37,-0.067814
1,240_KAN_evDB_20141103a_PL2017,N_lo, 1,37,-1.058123
1,240_KAN_evDB_20141103a_PL2017,AJ_hi, 1,37,-1.900449
1,240_KAN_evDB_20141103a_PL2017,AJ_hm, 1,37,2.640095
1,240_KAN_evDB_20141103a_PL2017,AJ_lm, 1,37,3.065389
1,240_KAN_evDB_20141103a_PL2017,AJ_lo, 1,37,-1.043264
1,240_KAN_evDB_20141103a_PL2017,V_hi, 1,37,-1.881216
1,240_KAN_evDB_20141103a_PL2017,V_hm, 1,37,-1.035120
1,240_KAN_evDB_20141103a_PL2017,V_lm, 1,37,0.416368
1,240_KAN_evDB_20141103a_PL2017,V_lo, 1,37,0.756821
1,240_KAN_evDB_20141103a_PL2017,AV_hi, 1,37,-1.388353
1,240_KAN_evDB_20141103a_PL2017,AV_hm, 1,37,-4.564099
1,240_KAN_evDB_20141103a_PL2017,AV_lm, 1,37,3.366620
1,240_KAN_evDB_20141103a_PL2017,AV_lo, 1,37,1.703208
1,240_KAN_evDB_20141103a_PL2017,FW_hi, 1,37,2.470440
1,240_KAN_evDB_20141103a_PL2017,FW_lo, 1,37,-4.130361
1,227_KAN_evDB_20141201c2_PL2017,N_hi, 1,37,1.634381
1,227_KAN_evDB_20141201c2_PL2017,N_hm, 1,37,5.908590
1,227_KAN_evDB_20141201c2_PL2017,N_lm, 1,37,4.920251
1,227_KAN_evDB_20141201c2_PL2017,N_lo, 1,37,3.587690
1,227_KAN_evDB_20141201c2_PL2017,AJ_hi, 1,37,6.618600
1,227_KAN_evDB_20141201c2_PL2017,AJ_hm, 1,37,0.228460
1,227_KAN_evDB_20141201c2_PL2017,AJ_lm, 1,37,5.410466
1,227_KAN_evDB_20141201c2_PL2017,AJ_lo, 1,37,7.373606
1,227_KAN_evDB_20141201c2_PL2017,V_hi, 1,37,3.024088
1,227_KAN_evDB_20141201c2_PL2017,V_hm, 1,37,4.457500
1,227_KAN_evDB_20141201c2_PL2017,V_lm, 1,37,0.380926
1,227_KAN_evDB_20141201c2_PL2017,V_lo, 1,37,1.753352
1,227_KAN_evDB_20141201c2_PL2017,AV_hi, 1,37,4.737517
1,227_KAN_evDB_20141201c2_PL2017,AV_hm, 1,37,5.361311
1,227_KAN_evDB_20141201c2_PL2017,AV_lm, 1,37,1.045295
1,227_KAN_evDB_20141201c2_PL2017,AV_lo, 1,37,0.238055
1,227_KAN_evDB_20141201c2_PL2017,FW_hi, 1,37,4.322544
1,227_KAN_evDB_20141201c2_PL2017,FW_lo, 1,37,7.736345
1,192_KAN_EvDB_20150211b_PL2017,N_hi, 1,37,-3.235679
1,192_KAN_EvDB_20150211b_PL2017,N_hm, 1,37,2.809675
1,192_KAN_EvDB_20150211b_PL2017,N_lm, 1,37,2.182835
1,192_KAN_EvDB_20150211b_PL2017,N_lo, 1,37,-3.692565
1,192_KAN_EvDB_20150211b_PL2017,AJ_hi, 1,37,-0.426528
1,192_KAN_EvDB_20150211b_PL2017,AJ_hm, 1,37,-0.215533
1,192_KAN_EvDB_20150211b_PL2017,AJ_lm, 1,37,-0.618080
1,192_KAN_EvDB_20150211b_PL2017,AJ_lo, 1,37,-0.011437
1,192_KAN_EvDB_20150211b_PL2017,V_hi, 1,37,-2.697318
1,192_KAN_EvDB_20150211b_PL2017,V_hm, 1,37,-4.087513
1,192_KAN_EvDB_20150211b_PL2017,V_lm, 1,37,1.380959
1,192_KAN_EvDB_20150211b_PL2017,V_lo, 1,37,2.399067
1,192_KAN_EvDB_20150211b_PL2017,AV_hi, 1,37,-1.650342
1,192_KAN_EvDB_20150211b_PL2017,AV_hm, 1,37,-1.993019
1,192_KAN_EvDB_20150211b_PL2017,AV_lm, 1,37,1.087322
1,192_KAN_EvDB_20150211b_PL2017,AV_lo, 1,37,0.327115
1,192_KAN_EvDB_20150211b_PL2017,FW_hi, 1,37,3.519780
1,192_KAN_EvDB_20150211b_PL2017,FW_lo, 1,37,-7.468435
1,253_KAN_EvDB_20150211a_PL2017,N_hi, 1,37,4.429480
1,253_KAN_EvDB_20150211a_PL2017,N_hm, 1,37,-4.068198
1,253_KAN_EvDB_20150211a_PL2017,N_lm, 1,37,2.007121
1,253_KAN_EvDB_20150211a_PL2017,N_lo, 1,37,5.476416
1,253_KAN_EvDB_20150211a_PL2017,AJ_hi, 1,37,0.585136
1,253_KAN_EvDB_20150211a_PL2017,AJ_hm, 1,37,4.449316
1,253_KAN_EvDB_20150211a_PL2017,AJ_lm, 1,37,1.305346
1,253_KAN_EvDB_20150211a_PL2017,AJ_lo, 1,37,-3.141314
1,253_KAN_EvDB_20150211a_PL2017,V_hi, 1,37,8.254294
1,253_KAN_EvDB_20150211a_PL2017,V_hm, 1,37,10.692499
1,253_KAN_EvDB_20150211a_PL2017,V_lm, 1,37,-0.698407
1,253_KAN_EvDB_20150211a_PL2017,V_lo, 1,37,-0.166744
1,253_KAN_EvDB_20150211a_PL2017,AV_hi, 1,37,2.747821
1,253_KAN_EvDB_20150211a_PL2017,AV_hm, 1,37,1.703728
