ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.884180,0.430632,4.375379,15.000000,0.000272,0.000679
2,743,74,1.000000,1.240283,0.381695,3.249412,15.000000,0.002695,0.003369
3,462,46,1.000000,1.420698,0.322968,4.398882,15.000000,0.000259,0.000679
4,1627,162,1.000000,0.305876,0.299532,1.021178,15.000000,0.161679,0.161679
5,2948,294,1.000000,1.081648,0.270157,4.003775,15.000000,0.000575,0.000959
