ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,2.017697,0.806029,2.503257,15.000000,0.012174,0.015218
2,743,74,1.000000,1.881406,0.663303,2.836419,15.000000,0.006253,0.012759
3,462,46,1.000000,1.608744,0.842272,1.910006,15.000000,0.037722,0.037722
4,1627,162,1.000000,0.948314,0.346604,2.736019,15.000000,0.007655,0.012759
5,2948,294,1.000000,1.348570,0.488663,2.759711,15.000000,0.007299,0.012759
