ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.650115,0.591099,2.791603,15.000000,0.006845,0.011208
2,743,74,1.000000,1.925803,0.497435,3.871464,15.000000,0.000753,0.002078
3,462,46,1.000000,1.224873,0.460967,2.657184,15.000000,0.008966,0.011208
4,1627,162,1.000000,0.642609,0.323568,1.986005,15.000000,0.032811,0.032811
5,2948,294,1.000000,1.600692,0.418672,3.823256,15.000000,0.000831,0.002078
