ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.606463,0.662742,2.423966,15.000000,0.014229,0.014229
2,743,74,1.000000,1.524500,0.466949,3.264809,15.000000,0.002611,0.004352
3,462,46,1.000000,1.408964,0.551637,2.554151,15.000000,0.011008,0.013760
4,1627,162,1.000000,0.901776,0.230927,3.905024,15.000000,0.000703,0.003517
5,2948,294,1.000000,1.129204,0.325522,3.468905,15.000000,0.001718,0.004295
