ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.837242,0.489259,3.755150,15.000000,0.000955,0.001592
2,743,74,1.000000,1.945952,0.497974,3.907740,15.000000,0.000699,0.001592
3,462,46,1.000000,1.612581,0.590322,2.731695,15.000000,0.007722,0.007722
4,1627,162,1.000000,1.012623,0.322008,3.144713,15.000000,0.003339,0.004174
5,2948,294,1.000000,1.581127,0.394385,4.009097,15.000000,0.000569,0.001592
