ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.902153,0.344627,2.617768,15.000000,0.009700,0.020877
2,743,74,1.000000,0.830949,0.559680,1.484688,15.000000,0.079168,0.079168
3,462,46,1.000000,1.011160,0.431778,2.341851,15.000000,0.016701,0.020877
4,1627,162,1.000000,0.521893,0.221955,2.351350,15.000000,0.016396,0.020877
5,2948,294,1.000000,0.679789,0.283167,2.400664,15.000000,0.014893,0.020877
