ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.689212,0.437849,3.857980,15.000000,0.000774,0.003871
2,743,74,1.000000,1.082426,0.446450,2.424518,15.000000,0.014214,0.017767
3,462,46,1.000000,1.286908,0.420782,3.058371,15.000000,0.003983,0.008682
4,1627,162,1.000000,0.571218,0.294114,1.942164,15.000000,0.035568,0.035568
5,2948,294,1.000000,0.982916,0.335864,2.926529,15.000000,0.005209,0.008682
