ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.298577,0.463771,2.800042,15.000000,0.006729,0.016823
2,743,74,1.000000,1.077176,0.448171,2.403495,15.000000,0.014811,0.024685
3,462,46,1.000000,0.541996,0.496519,1.091591,15.000000,0.146118,0.146118
4,1627,162,1.000000,0.428850,0.233405,1.837364,15.000000,0.043024,0.053779
5,2948,294,1.000000,1.033065,0.268723,3.844348,15.000000,0.000796,0.003980
