ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.594996,0.393109,4.057385,15.000000,0.000516,0.001290
2,743,74,1.000000,1.777747,0.397743,4.469591,15.000000,0.000225,0.001124
3,462,46,1.000000,1.658615,0.464612,3.569897,15.000000,0.001396,0.002327
4,1627,162,1.000000,0.816420,0.255402,3.196611,15.000000,0.003003,0.003489
5,2948,294,1.000000,1.087512,0.348194,3.123295,15.000000,0.003489,0.003489
